,0
David Houston:Almost Persuaded,"Last night all alone in a barroom Met a girl with a drink in her hand She had ruby red lips, coal black hair And eyes that would tempt any man.  Then she came and sat down at my table As she placed her soft hands in mine I found myself wanting to kiss her For temptation was flowing like wine.  And I was almost persuaded to strip myself of my pride Almost persuaded to push my conscience aside Then we danced and she whispered, ""I need you, Take me away from here and be my man.""  Then I looked into her eyes and saw it The reflection of my wedding band And I was almost persuaded to let strange lips lead me on Almost persuaded but your sweet love made me stop and go home.
"
Jack Greene:All the Time,"All the time yes darling all the time tenderly constantly I'll love you Every day I'll prove it every way in happiness or in loneliness I'll love you Other arms may tempt me but don't let that bother you For even if they tempt me I'll never be untrue All the time yes darling all the time Through the years through smiles or tears I'll love you Other arms may tempt me...
"
Johnny Cash:Folsom Prison Blues,"I hear the train a-comin', it's rollin' round the bend And I ain't seen the sunshine since I don't know when I'm stuck in Folsom Prison, and time keeps draggin' on But that train keeps a-rollin' on down to San Antone  When I was just a baby, my mama told me, ""Son Always be a good boy, don't ever play with guns"" But I shot a man in Reno just to watch him die When I hear that whistle blowin', I hang my head and cry  I bet there's rich folks eatin' in a fancy dining car They're probably drinkin' coffee snd smokin' big cigars Well, I know I had it comin', I know I can't be free But those people keep a-movin', and that's what tortures me  Well, if they freed me from this prison, if that railroad train was mine I bet I'd move it on a little farther down the line Far from Folsom Prison, that's where I want to stay And I'd let that lonesome whistle blow my blues away
"
Bill Anderson:My Life (Throw It Away If I Want To),"You don't understand the pattern of my life Because my life has got no pattern You don't see and you can't feel the wind That's blowing at my back and saying move boy You think this burning fever in my heart is just a folly And I'm throwin' away my happiness by leaving you Well, it's my life, throw it away if I want to.  I've tried my best to plant my feet and stay with you But all I feel is roots grow And what man wants a woman who won't satisfy his heart And soothe his ego I sleep all day and run all night And you tell me that that ain't right That ain't what the husbands of your friends do But it's my life, throw it away if I want to.  You try to make me think my nonconforming life Has colored me some evil shade You delight and filling up my mind With a little bits of guilt you think I oughta feel Well I'm tired of feeling guilty and I'm tired of having nothing  And I'm throwin' away this life you've had me shackled to It's my life, throw it away if I want to.  I've tried my best to plant my feet and stay with you But all I feel is roots grow And what man wants a woman who won't satisfy his heart And soothe his ego I sleep all day and run all night And you tell me that that ain't right That ain't what the husbands of your friends do But it's my life, throw it away if I want to...
"
Conway Twitty:Hello Darlin',"Hello darlin' Nice to see you It's been a long time You're just as lovely As you used to be.  How's your new love Are you happy Hope you're doin' fine Just to know it Means so much to me.  What's that darlin' How am I doin' Guess I'm doin' all right Except I can't sleep And I cry all night till dawn.  What I'm trying to say Is I love you and I miss you And I'm so sorry That I did you wrong.  Look up darlin' Let me kiss you Just for old time sake Let me hold you In my arms one more time.  Thank you darlin' May God bless you And may each step you take Bring you closer To the things you seem to find.  Goodbye darlin' Gotta go now Gotta try to find a way To lose these memories Of a love so warm and true.  And if you should ever find it In your heart to forgive me Come back darlin' I'll be waitin' for you...
"
Freddie Hart:Easy Loving,"Easy lovin', so sexy lookin' I know from the feelin' that it comes from the heart Easy lovin', every day's Thanksgivin' To count all my blessings, I wouldn't know where to start  Every time I look you over So real-to-life it seems For upon your pretty shoulders There's a pair of angel wings  Easy lovin', seein's believin' Life with you's like livin' in a beautiful dream  Every time I look you over So real-to-life it seems For upon your pretty shoulders There's a pair of angel wings  Easy lovin', seein's believin' Life with you's like livin' in a beautiful dream
"
Freddie Hart:My Hang Up Is You,"Everybody's got one baby my hang-up is you  Everybody's got one the hang-up of some kind Call it habit or call it weakness thank goodness I've got mine The wanting the craving the needing keeps my world from crawling through Everybody's got one baby my hang-up is you  I've hung up all the thrills I feel when I hold you in my arms I'm hung up because I need your love to wrap around and keep me warm You're my little piece of heaven you're all I've got to hang on to Everybody's got one baby my hang-up is you Everybody's got one baby my hang-up is you
"
Conway Twitty:You've Never Been This Far Before,"I can almost hear the stillness As it yields to the sound of your heart beating And I can almost hear the echo Of the thoughts that I know you must be thinking And I can feel your body tremble As you wonder what this moment holds in store And as I put my arms around you I can tell you've never been this far before  I don't know what I'm saying As my trembling fingers touch forbidden places I only know that I have waited For so long for the chance that we are taking I don't know and I don't care What made you tell him you don't love him anymore And as I taste your tender kisses I can tell you've never been this far before  And as I take the love you're giving I can feel the tension building in your mind And you're wondering if tomorrow I'll still love you like I'm loving you tonight You have no way of knowing But tonight will only make me love you more And I hope that you'll believe me 'Cause I know you've never been this far before
"
Charlie Rich:There Won't Be Anymore,"Don't wait for the postman If you're looking for a letter from me There won't be anymore There won't be anymore  And don't sit by your telephone If you're waiting for a call from me There won't be anymore There won't be anymore  Don't think of the love we had Till you turned bad And broke my loving heart And when your heart is breaking And you need some loving from me There won't be anymore There won't be anymore  Don't think of the love we had Till you turned bad And broke my loving heart And when your heart is breaking And you need some loving from me There won't be anymore There won't be anymore  It won't be like before There won't be anymore
"
Glen Campbell:Rhinestone Cowboy,"I've been walkin' these streets so long Singin' the same old song I know every crack in these dirty sidewalks Of Broadway  Where hustle's the name of the game And nice guys get washed away like the snow and the rain There's been a load of compromisin' On the road to my horizon But I'm gonna be where the lights are shinin' on me  Like a rhinestone cowboy Riding out on a horse in a star-spangled rodeo Like a rhinestone cowboy Getting cards and letters from people I don't even know And offers comin' over the phone  Well, I don't really mind the rain And a smile can hide all the pain But you're down when you're ridin' the train That's takin' the long way  And I dream of the things I'll do With a subway token and a dollar tucked inside my shoe There'll be a load of compromisin' On the road to my horizon  But I'm gonna be where the lights are shinin' on me  Like a rhinestone cowboy Riding out on a horse in a star-spangled rodeo Rhinestone cowboy Gettin' cards and letters from people I don't even know And offers comin' over the phone  Like a rhinestone cowboy Riding out on a horse in a star-spangled rodeo Like a rhinestone cowboy Gettin' cards and letters from people I don't even know Like a rhinestone cowboy
"
