,0
Aretha Franklin:Respect,"(Ooh) What you want (Ooh) Baby, I got (Ooh) What you need (Ooh) Do you know I got it (Ooh) All I'm askin' (Ooh) Is for a little respect when you come home  (Just a little bit) Hey baby (Just a little bit) When you get home (Just a little bit) Mister (Just a little bit)  I ain't gonna do you wrong While you're gone Ain't gonna do you wrong (Ooh) Cause I don't want to (Ooh) All I'm askin' (Ooh) Is for a little respect when you come home  (Just a little bit) Baby (Just a little bit) When you get home (Just a little bit) Yeah (Just a little bit)  I'm about to give you All of my money And all I'm askin' In return, honey Is to give me my propers When you get home  (Just a, just a, just a, just a) Yeah, baby (Just a, just a, just a, just a) When you get home (Just a little bit) Yeah (Just a little bit)  Ooh, your kisses (Ooh) Sweeter than honey (Ooh) And guess what (Ooh) So is my money (Ooh) All I want you to do for me (Ooh) Is give it to me when you get home  (Re, re, re, re) Yeah, baby (Re, re, re, re) Whip it to me (Respect, just a little bit) When you get home, now (Just a little bit)  R-E-S-P-E-C-T Find out what it means to me R-E-S-P-E-C-T Take care, T-C-B, oh  (Sock it to me, sock it to me, sock it to me, sock it to me) A little respect (Sock it to me, sock it to me, sock it to me, sock it to me) Whoa, yeah (Just a little bit) A little respect (Just a little bit) I get tired (Just a little bit) Keep on tryin' (Just a little bit) You're runnin' out a fool (Just a little bit) And I ain't lyin' (Just a little bit)  (Re, re, re, re) Respect when you come home (Re, re, re, re) Or you might walk in (Respect, just a little bit) And find I'm gone (Just a little bit)"
James Brown:Say It Loud  I'm Black and I'm Proud,"Uh, with your bad self Say it loud (I'm black and I'm proud) Say it loud (I'm black and I'm proud)  Look a-here Some people say we got a lot of malice, some say it's a lotta nerve But I say we won't quit movin' until we get what we deserve We've been 'buked and we've been scorned We've been treated bad, talked about as sure as you're born But just as sure as it take two eyes to make a pair, huh Brother we can't quit until we get our share  Say it loud (I'm black and I'm proud) Say it loud (I'm black and I'm proud) One more time, say it loud (I'm black and I'm proud) Huh  I've worked on jobs with my feet and my hand But all the work I did was for the other man And now we demands a chance to do things for ourselves We tired of beatin' our head against the wall And workin' for someone else  Say it loud (I'm black and I'm proud) Say it loud (I'm black and I'm proud) Say it loud (I'm black and I'm proud) Say it loud (I'm black and I'm proud) Oh  Ooh-wee, you're killin' me Alright, uh, you're out of sight Alright, so tough, you're tough enough Ooh-wee, uh, you're killin' me  Ow, say it loud (I'm black and I'm proud) Say it louder (I'm black and I'm proud)  Now we demands a chance to do things for ourselves We tired of beatin' our heads against the wall And workin' for someone else Look a-here, there's one thing more I got to say right here Now, now we're people, we like the birds and the bees But we'd rather die on our feet than keep livin' on our knees  Say it loud (I'm black and I'm proud) huh Say it loud (I'm black and I'm proud) huh Say it louder (I'm black and I'm proud) Lord-a, Lord-a, Lord-a, huh, say it loud (I'm black and I'm proud)  Uh! alright now, good God You know we can do the boogaloo Now we can say we do the funky dog"
Jackson 5:I'll Be There,"You and I must make a pact We must bring salvation back Where there is love I'll be there (I'll be there)  I'll reach out my hand to you I'll have faith in all you do Just call my name And I'll be there (I'll be there)  And oh I'll be there to comfort you Build my world of dreams around you I'm so glad that I found you I'll be there with a love that's strong I'll be your strength I'll keep holding on (holding on, holding on, holding on) Yes I will, yes I will  Let me fill your heart with joy and laughter Togetherness, girl, is all I'm after Whenever you need me I'll be there (I'll be there)  I'll be there to protect you (yeah, baby) With an unselfish love that respects you Just call my name And I'll be there (I'll be there)  And oh I'll be there to comfort you Build my world of dreams around you I'm so glad that I found you I'll be there with a love that's strong I'll be your strength I'll keep holding on, ooh Yes I will, yes I will (holding on, holding on)  If you should ever find someone new I know he'd better be good to you 'Cause if he doesn't I'll be there (I'll be there)  Don't you know, baby, yeah, yeah I'll be there I'll be there Just call my name (I'll be there) I'll be there  Just look over your shoulders, honey, ooh I'll be there I'll be there Whenever you need me (I'll be there) I'll be there  Don't you know, baby, yeah, yeah I'll be there I'll be there Just call my name (and I'll be there) I'll be there  Ooh, ooh, ooh, ooh I'll be there I'll be there"
Jean Knight:Mr. Big Stuff,"(Oh yeah) (Ooh)  Mr. Big Stuff Who do you think you are? Mr. Big Stuff You're never gonna get my love  Now, because you wear all those fancy clothes (oh yeah) And have a big, fine car, oh yes you do now, Do you think I can afford to give you my love? (oh yeah) You think you're higher than every star above  Mr. Big Stuff Who do you think you are? Mr. Big Stuff You're never gonna get my love  Now, I know all the girls I've seen you with I know you broke their hearts one after another now, bit by bit You made 'em cry, many poor girls cry When they tried to keep you happy, they just tried to keep you satisfied  Mr. Big Stuff, tell me, tell me Who do you think you are? Mr. Big Stuff You're never gonna get my love  I'd rather give my love to a poor guy that has a love that's true (oh yeah) Than to be fooled around and get hurt by you 'Cause when I give my love, I want love in return (oh yeah) Now, I know this is a lesson, Mr. Big Stuff, you haven't learned  Mr. Big Stuff, tell me Who do you think you are? Mr. Big Stuff You're never gonna get my love Mr. Big Stuff You're never gonna break my heart Mr. Big Stuff You're never gonna make me cry"
Al Green:Let's Stay Together,"(Let's stay together)  I'm, I'm so in love with you Whatever you want to do Is all right with me Cause you make me feel so brand new And I want to spend my life with you  Let me say that since, baby Since we've been together Ooh, loving you forever Is what I need Let me be the one you come running to I'll never be untrue  Ooh baby, let's, let's stay together Loving you whether, whether Times are good or bad, and happy or sad  Ooh, ooh, yeah Whether times are good or bad, and happy or sad  Why somebody, why people break up Oh, turn around and make up I just can't see You'd never do that to me, would you, baby Staying around you is all I see Here's what I want us to do  Let's, we oughta stay together ('gether) Loving you whether, whether Times are good or bad, and happy or sad, come on  Let's, ooh (let's stay together) let's stay together Loving you whether, whether Times are good or bad, and happy or sad  If you care for me, you can't set me free, woman Let's, oh girl, let's stay together Loving you whether, whether Times are good or bad, happy or sad  If you're in love with me, you can't set me free, woman Let's, girl, let's stay together Loving you whether, whether Times are good or bad, happy or sad  And if you care for me, oh, woman, don't go away Let's, hey. hey, let's stay together Don't leave me now Lovin' you whether, whether Times are good or bad, happy or sad, girl  And if you do me wrong, I just  can't leave you alone, baby Oh baby, let's stay together"
Marvin Gaye:Let's Get It On,"I've been really tryin', baby Tryin' to hold back this feelin' for so long And if you feel like I feel, baby Then come on, oh come on  Whoo, let's get it on, ah baby Let's get it on, let's love, baby Let's get it on, sugar Let's get it on, whoo-ooh-ooh  We're all sensitive people With so much to give, understand me, sugar Since we got to be here Let's live, I love you  There's nothing wrong with me Lovin' you, baby no no And givin' yourself to me can never be wrong If the love is true, oh baby  Don't you know how sweet and wonderful Life can be? I'm asking you baby To get it on with me  I ain't gonna worry I ain't gonna push, I won't push you baby So come on, come on, come on, come on, come on baby Stop beatin' 'round the bush  Let's get it on Let's get it on, you know what I'm talkin' about Come on baby, hey hey, let your love come out If you believe in love  Let's get it on, let's get it on, baby This minute, oh yeah Let's get it on, please Please get it on  I know you know what I've been dreaming of Don't you baby? My whole body wants that feeling of love Ah help me!  I ain't gonna worry, No I ain't gonna push, I won't push you baby But come on, come on, come on, come on, come on darlin' Stop beatin' 'round the bush  Oh, wanna get it on, threatening you, baby I want to get it on, you don't have to worry that it's wrong If the spirit moves you, let me groove you good Let your love come down, oh, get it on  Come on baby Do you know the meaning of being sanctified? Ah... Girl, you give me good feeling So good, something like sanctified Oh, do right baby  Nothing wrong with love If you want to love me  Then let yourself go Oh, baby, let's get it on"
Roberta Flack:Feel Like Makin' Love,"Strollin' in the park, watching winter turn to spring  Walkin' in the dark, seein' lovers do their thing, ooh That's the time I feel like makin' love to you That's the time I feel like makin' dreams come true Oh baby  When you talk to me, when you're moanin' sweet & low When you're touchin' me and my feelings start to show, ooh That's the time I feel like makin' love to you That's the time I feel like makin' dreams come true Oh baby  In a restaurant, holdin' hands by candlelight When you're touchin' me, wanting you with all my might, ooh That's the time I feel like makin' love to you That's the time I feel like makin' dreams come true Oh baby  Strollin' in the park, watching winter turn to spring  Walkin' in the dark, seein' lovers do their thing, ooh That's the time I feel like makin' love to you That's the time I feel like makin' dreams come true Oh baby"
Isley Brothers:Fight the Power Pt. 1,"Time is truly wastin', there's no guarantee, yeah Smile is in the makin', we got to fight the powers that be Got so many voices, saying all the same, yeah, Killing up all around me, faces full of pain  I tried to play my music, they say my music's too loud I tried talking about it, I got the big runaround And when I rolled with the punches I got knocked on the ground By all this bullshit going down, hey  Time is truly wastin', there's no guarantee, yeah Smile is in the makin', we got to fight the powers that be I don't understand it, people wanna say yeah  Those that got the answers, red tape in the way I could tend to it easy, let's just have some fun naw, naw Seekin' my satisfaction, keeps me on the run  I tried to play my music, say my music's too loud I tried talking about it, I got the big runaround And when I rolled with the punches I got knocked on the ground By all this bullshit going down, ooh  Time is truly wastin', there's no guarantee, yeah Smile is in the makin', we got to fight the powers that be Fight it baby, yeah, woo, hey, even you and I can fight the power Fight it, fight the power"
Johnnie Taylor:Disco Lady,"Shake it up, shake it down Move it in, move it 'round, disco lady Move it in, move it out Move it in, 'round about, disco lady  Shake it up, shake it down Move it in, move it around, disco lady, well Hey sexy lady Said I like the way you do your thang Lord have mercy girl  You dance so fine and you're right on time Girl you ought to be on T.V., on Soul Train When you get the groove there ain't no stoppin' Just can't help it, but I'm finger poppin'  Shake it up, shake it down Move it in, move it 'round, disco lady, well Move it in, move it 'round Move it in, round about, disco lady  Shake it baby, shake it Baby shake your thang, one time Shake it baby, shake it Baby shake your thang  You've got me groovin' I feel like movin' You've got me movin' Can't sit still, I'm groovin' (I like that funky stuff)  Shake it up, shake it down Move it in, move it around, disco lady, well Move it in, move it out Shove it in, 'round about, disco lady  Hey, sexy lady Girl, you drive me crazy You dance so fine and your right on time Girl, you driving me out of my mind, yeah  If it wasn't for the girl sittin' next to me I'd jump right up and outta my seat you see You got me hypnotized, so mesmerized Girl, your movin' me Girl your groovin' me  Shake it baby, shake it Baby shake your thang, one time Shake it baby, shake it Baby shake your thang  You've got me groovin' I feel like movin' You've got me movin' Can't sit still, I'm groovin' (I like that funky stuff)  Shake it up, shake it down Move it in, move it 'round, disco lady, well Move it in, move it out Shove it in, 'round about, disco lady  Hey, sexy lady Girl, you drive me crazy You dance so fine and your right on time Girl, you driving me out of my mind, yeah  If it wasn't for the girl sittin' next to me I'd jump right up and outta my seat you see You got me hypnotized, so mesmerized Girl, your movin' me Girl your groovin' me  Shake it on down Hey, you got me so set here in this discotech Girl, you're movin' me Girl, you're groovin' me  Shake it baby shake it, baby shake your thang"
The Floaters:Float On,"Aquarius, Libra, Leo, Cancer Ralph, Charles, Paul, Larry  Float, float on Float on, float on Float, float, float on Float on, float on  Float, float on Float on, float on Float, float, float on Float on, float on  Float, float on Float on, float on Float, float, float on Float on, float on  Aquarius, Libra, Leo, Cancer Ralph, Charles, Paul, Larry  Aquarius and my name is Ralph Now I like a woman who loves her freedom And I like a woman who can hold her own And if you fit that description, baby, come with me  Take my hand Come with me, baby, to Love Land Let me show you how sweet it could be Sharing love with me, I want you to  Float, float on (come on, come on, come on) Float on, float on  Float, float, float on Float on, float on (float on)  Libra and my name is Charles Now I like a woman that's quiet A woman who carries herself like Miss Universe A woman who would take me in her arms And she would say, Charles, yeah And if you fit that description This is for you especially  Mmm, take my hand Come with me, baby, to Love Land Let me show you how sweet it could be Sharing loving with me, I want you to  Float, float on  Float on, float on  Float, float, float on  Float on, float on  Leo and my name is Paul You see I like all women of the world You see to me all women are wild flowers And if you understand what I'm sayin I want you to  Mmm, take my hand Come with me, baby, to Love Land Let me show you how sweet it could be Sharing love with me, I want you to  Float, float on  Float on, float on  Float, float, float on (float with Paul, y'all) Float on, float on  Cancer and my name is Larry, huh And I like a woman that loves everything and everybody Because I love everybody and everything And you know what, ladies, if you feel that this is you Then this is what I want you to do  Ooh, yeah, take my hand Let me take you to Love Land Let me show you how sweet it could be Sharing your love with Larry, listen  Float, float on  Float on, float on  Float, float, float on"
